Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	true	Sus scrofa	Trypsin	1:Experimental evidence at protein level	25.11	1.0000	0.9990	0.00000000000000	4	4	4	7	7	7	     0	     0	     0	17M(15.9949)		
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	false	false	Homo sapiens	Probable non-functional immunoglobulin kappa variable 2D-24	1:Experimental evidence at protein level	32.50	1.0000	0.9985	0.00000000000000	3	0	3	3	0	3	     0	     0	     0			sp|A0A0C4DH68|KV224_HUMAN
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	false	false	Homo sapiens	Immunoglobulin heavy variable 5-51	1:Experimental evidence at protein level	37.61	1.0000	0.9989	0.00000000000000	3	2	3	5	3	5	     0	     0	     0			
sp|A0A0C4DH67|KV108_HUMAN	A0A0C4DH67	KV108_HUMAN	IGKV1-8	115	false	false	Homo sapiens	Immunoglobulin kappa variable 1-8	1:Experimental evidence at protein level	16.52	1.0000	0.9978	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			sp|A0A0C4DH69|KV109_HUMAN
sp|A0A0C4DH72|KV106_HUMAN	A0A0C4DH72	KV106_HUMAN	IGKV1-6	117	false	false	Homo sapiens	Immunoglobulin kappa variable 1-6	1:Experimental evidence at protein level	23.93	1.0000	0.9988	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	false	false	Homo sapiens	Immunoglobulin lambda-like polypeptide 5	1:Experimental evidence at protein level	44.39	1.0000	0.9989	0.00000000000000	7	1	3	10	1	3	     0	     0	     0			
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	false	false	Homo sapiens	Apolipoprotein L1	1:Experimental evidence at protein level	37.94	1.0000	0.9989	0.00000000000000	13	13	13	14	14	14	     0	     0	     0			
sp|O75882|ATRN_HUMAN	O75882	ATRN_HUMAN	ATRN	1429	false	false	Homo sapiens	Attractin	1:Experimental evidence at protein level	4.83	1.0000	0.9985	0.00000000000000	6	6	6	6	6	6	     0	     0	     0			
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	false	false	Homo sapiens	Apolipoprotein M	1:Experimental evidence at protein level	39.89	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	     0	     0	     0	4C(57.0214)		
sp|P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	false	false	Homo sapiens	Ceruloplasmin	1:Experimental evidence at protein level	49.86	1.0000	0.9990	0.00000000000000	44	44	44	63	63	63	     0	     0	     0	10C(57.0214), 10M(15.9949), 11C(57.0214), 13C(57.0214), 18C(57.0214), 20M(15.9949), 3C(57.0214), 6C(57.0214)		
sp|P00488|F13A_HUMAN	P00488	F13A_HUMAN	F13A1	732	false	false	Homo sapiens	Coagulation factor XIII A chain	1:Experimental evidence at protein level	19.40	1.0000	0.9989	0.00000000000000	12	12	12	12	12	12	     0	     0	     0			
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	false	false	Homo sapiens	Prothrombin	1:Experimental evidence at protein level	35.21	1.0000	0.9990	0.00000000000000	18	18	18	21	21	21	     0	     0	     0	10C(57.0214), 11M(15.9949), 15C(57.0214), 19C(57.0214), 5C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|P00736|C1R_HUMAN	P00736	C1R_HUMAN	C1R	705	false	false	Homo sapiens	Complement C1r subcomponent	1:Experimental evidence at protein level	29.08	1.0000	0.9988	0.00000000000000	17	15	17	17	15	17	     0	     0	     0	2C(57.0214), 9C(57.0214)		
sp|P00738|HPT_HUMAN	P00738	HPT_HUMAN	HP	406	false	false	Homo sapiens	Haptoglobin	1:Experimental evidence at protein level	43.35	1.0000	0.9990	0.00000000000000	20	9	20	28	15	28	     0	     0	     0	12C(57.0214), 15C(57.0214), 18M(15.9949), 2C(57.0214), 5C(57.0214)		
sp|P00739|HPTR_HUMAN	P00739	HPTR_HUMAN	HPR	348	false	false	Homo sapiens	Haptoglobin-related protein	1:Experimental evidence at protein level	41.67	1.0000	0.9990	0.00000000000000	15	4	4	19	6	6	     0	     0	     0	15C(57.0214)		
sp|P00747|PLMN_HUMAN	P00747	PLMN_HUMAN	PLG	810	false	false	Homo sapiens	Plasminogen	1:Experimental evidence at protein level	31.60	1.0000	0.9990	0.00000000000000	23	21	23	25	23	25	     0	     0	     0	10C(57.0214), 11C(57.0214), 16C(57.0214), 3C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|P00748|FA12_HUMAN	P00748	FA12_HUMAN	F12	615	false	false	Homo sapiens	Coagulation factor XII	1:Experimental evidence at protein level	7.97	1.0000	0.9990	0.00000000000000	4	4	4	5	5	5	     0	     0	     0			
sp|P00751|CFAB_HUMAN	P00751	CFAB_HUMAN	CFB	764	false	false	Homo sapiens	Complement factor B	1:Experimental evidence at protein level	37.70	1.0000	0.9990	0.00000000000000	27	27	27	31	31	31	     0	     0	     0	12C(57.0214), 1C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|P00915|CAH1_HUMAN	P00915	CAH1_HUMAN	CA1	261	false	false	Homo sapiens	Carbonic anhydrase 1	1:Experimental evidence at protein level	37.16	1.0000	0.9990	0.00000000000000	6	6	6	8	8	8	     0	     0	     0			
sp|P01008|ANT3_HUMAN	P01008	ANT3_HUMAN	SERPINC1	464	false	false	Homo sapiens	Antithrombin-III	1:Experimental evidence at protein level	63.79	1.0000	0.9990	0.00000000000000	26	26	26	37	37	37	     0	     0	     0	19M(15.9949), 6C(57.0214), 6M(15.9949), 8C(57.0214)		
sp|P01009|A1AT_HUMAN	P01009	A1AT_HUMAN	SERPINA1	418	false	false	Homo sapiens	Alpha-1-antitrypsin	1:Experimental evidence at protein level	63.64	1.0000	0.9990	0.00000000000000	30	30	30	50	50	50	     0	     0	     0	10C(57.0214), 15M(15.9949), 8M(15.9949), 9C(57.0214), 9M(15.9949)		
sp|P01011|AACT_HUMAN	P01011	AACT_HUMAN	SERPINA3	423	false	false	Homo sapiens	Alpha-1-antichymotrypsin	1:Experimental evidence at protein level	48.94	1.0000	0.9990	0.00000000000000	18	18	18	26	26	26	     0	     0	     0	1M(15.9949), 6C(57.0214)		
sp|P01019|ANGT_HUMAN	P01019	ANGT_HUMAN	AGT	476	false	false	Homo sapiens	Angiotensinogen	1:Experimental evidence at protein level	32.14	1.0000	0.9990	0.00000000000000	12	12	12	18	18	18	     0	     0	     0			
sp|P01023|A2MG_HUMAN	P01023	A2MG_HUMAN	A2M	1474	false	false	Homo sapiens	Alpha-2-macroglobulin	1:Experimental evidence at protein level	63.03	1.0000	0.9990	0.00000000000000	71	64	71	111	99	111	     0	     0	     0	10C(57.0214), 11C(57.0214), 11M(15.9949), 15C(57.0214), 17M(15.9949), 19C(57.0214), 1M(15.9949), 23C(57.0214), 2C(57.0214), 2M(15.9949), 3C(57.0214), 4C(57.0214), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 8M(15.9949), 9C(57.0214), 9M(15.9949)		
sp|P01024|CO3_HUMAN	P01024	CO3_HUMAN	C3	1663	false	false	Homo sapiens	Complement C3	1:Experimental evidence at protein level	74.38	1.0000	0.9990	0.00000000000000	106	106	106	157	157	157	     0	     0	     0	10C(57.0214), 10M(15.9949), 11C(57.0214), 11M(15.9949), 12C(57.0214), 12M(15.9949), 13C(57.0214), 15M(15.9949), 18M(15.9949), 1C(57.0214), 2C(57.0214), 2M(15.9949), 3C(57.0214), 3M(15.9949), 4C(57.0214), 5C(57.0214), 7M(15.9949), 8C(57.0214)		
sp|P01031|CO5_HUMAN	P01031	CO5_HUMAN	C5	1676	false	false	Homo sapiens	Complement C5	1:Experimental evidence at protein level	30.25	1.0000	0.9990	0.00000000000000	42	42	42	48	48	48	     0	     0	     0			
sp|P01042|KNG1_HUMAN	P01042	KNG1_HUMAN	KNG1	644	false	false	Homo sapiens	Kininogen-1	1:Experimental evidence at protein level	32.45	1.0000	0.9990	0.00000000000000	17	17	17	18	18	18	     0	     0	     0	10C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|P01593|KVD33_HUMAN	P01593	KVD33_HUMAN	IGKV1D-33	117	false	false	Homo sapiens	Immunoglobulin kappa variable 1D-33	1:Experimental evidence at protein level	13.68	1.0000	0.9988	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			sp|P01594|KV133_HUMAN
sp|P01834|IGKC_HUMAN	P01834	IGKC_HUMAN	IGKC	107	false	false	Homo sapiens	Immunoglobulin kappa constant	1:Experimental evidence at protein level	86.92	1.0000	0.9990	0.00000000000000	7	7	7	13	13	13	     0	     0	     0	4C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|P01857|IGHG1_HUMAN	P01857	IGHG1_HUMAN	IGHG1	399	false	false	Homo sapiens	Immunoglobulin heavy constant gamma 1	1:Experimental evidence at protein level	52.88	1.0000	0.9990	0.00000000000000	15	6	8	26	10	14	     0	     0	     0	12M(15.9949), 4C(57.0214), 6C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|P01859|IGHG2_HUMAN	P01859	IGHG2_HUMAN	IGHG2	395	false	false	Homo sapiens	Immunoglobulin heavy constant gamma 2	1:Experimental evidence at protein level	39.75	1.0000	0.9990	0.00000000000000	13	6	7	22	8	10	     0	     0	     0	11C(57.0214), 5M(15.9949)		
sp|P01860|IGHG3_HUMAN	P01860	IGHG3_HUMAN	IGHG3	446	false	false	Homo sapiens	Immunoglobulin heavy constant gamma 3	1:Experimental evidence at protein level	45.74	1.0000	0.9990	0.00000000000000	16	7	16	30	13	30	     0	     0	     0	10C(57.0214), 11C(57.0214), 13C(57.0214), 14M(15.9949), 1C(57.0214), 2C(57.0214), 4M(15.9949), 6C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|P01861|IGHG4_HUMAN	P01861	IGHG4_HUMAN	IGHG4	396	false	false	Homo sapiens	Immunoglobulin heavy constant gamma 4	1:Experimental evidence at protein level	40.91	1.0000	0.9989	0.00000000000000	12	5	5	19	6	6	     0	     0	     0	4C(57.0214), 9C(57.0214)		
sp|P01871|IGHM_HUMAN	P01871	IGHM_HUMAN	IGHM	474	false	false	Homo sapiens	Immunoglobulin heavy constant mu	1:Experimental evidence at protein level	40.93	1.0000	0.9990	0.00000000000000	16	16	16	25	25	25	     0	     0	     0	12C(57.0214), 3C(57.0214)		
sp|P01876|IGHA1_HUMAN	P01876	IGHA1_HUMAN	IGHA1	398	false	false	Homo sapiens	Immunoglobulin heavy constant alpha 1	1:Experimental evidence at protein level	42.46	1.0000	0.9990	0.00000000000000	12	7	12	17	11	17	     0	     0	     0	26C(57.0214), 29C(57.0214), 4C(57.0214), 6C(57.0214), 7C(57.0214), 7M(15.9949), 8M(15.9949)		
sp|P01877|IGHA2_HUMAN	P01877	IGHA2_HUMAN	IGHA2	391	false	false	Homo sapiens	Immunoglobulin heavy constant alpha 2	1:Experimental evidence at protein level	20.46	1.0000	0.9990	0.00000000000000	6	1	1	8	2	2	     0	     0	     0			
sp|P01880|IGHD_HUMAN	P01880	IGHD_HUMAN	IGHD	430	false	false	Homo sapiens	Immunoglobulin heavy constant delta	1:Experimental evidence at protein level	24.42	1.0000	0.9989	0.00000000000000	8	8	8	10	10	10	     0	     0	     0	11C(57.0214), 5C(57.0214)		
sp|P02042|HBD_HUMAN	P02042	HBD_HUMAN	HBD	147	false	false	Homo sapiens	Hemoglobin subunit delta	1:Experimental evidence at protein level	67.35	1.0000	0.9981	0.00000000000000	8	3	3	10	3	3	     0	     0	     0			
sp|P02647|APOA1_HUMAN	P02647	APOA1_HUMAN	APOA1	267	false	false	Homo sapiens	Apolipoprotein A-I	1:Experimental evidence at protein level	79.40	1.0000	0.9990	0.00000000000000	29	29	29	52	52	52	     0	     0	     0	5M(15.9949), 6M(15.9949), 8M(15.9949), 9M(15.9949)		
