Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	true	Sus scrofa	Trypsin	1:Experimental evidence at protein level	25.11	1.0000	0.9990	0.00000000000000	5	5	5	8	8	8	     0	     0	     0	17M(15.9949)		
sp|A0A0B4J2D9|KVD13_HUMAN	A0A0B4J2D9	KVD13_HUMAN	IGKV1D-13	117	false	false	Homo sapiens	Immunoglobulin kappa variable 1D-13	3:Protein inferred from homology	13.68	1.0000	0.9990	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			sp|P0DP09|KV113_HUMAN
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	false	false	Homo sapiens	Immunoglobulin heavy variable 5-51	1:Experimental evidence at protein level	47.01	1.0000	0.9988	0.00000000000000	4	2	4	5	2	5	     0	     0	     0	9C(57.0214)		
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	false	false	Homo sapiens	Immunoglobulin lambda-like polypeptide 5	1:Experimental evidence at protein level	44.39	1.0000	0.9989	0.00000000000000	7	1	3	10	1	3	     0	     0	     0			
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	false	false	Homo sapiens	Apolipoprotein L1	1:Experimental evidence at protein level	43.97	1.0000	0.9989	0.00000000000000	14	14	14	15	15	15	     0	     0	     0			
sp|O75882|ATRN_HUMAN	O75882	ATRN_HUMAN	ATRN	1429	false	false	Homo sapiens	Attractin	1:Experimental evidence at protein level	4.97	1.0000	0.9965	0.00000000000000	6	6	6	6	6	6	     0	     0	     0			
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	false	false	Homo sapiens	Apolipoprotein M	1:Experimental evidence at protein level	45.21	1.0000	0.9990	0.00000000000000	6	6	6	7	7	7	     0	     0	     0	4C(57.0214), 5C(57.0214)		
sp|P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	false	false	Homo sapiens	Ceruloplasmin	1:Experimental evidence at protein level	51.83	1.0000	0.9990	0.00000000000000	48	48	48	68	68	68	     0	     0	     0	10C(57.0214), 10M(15.9949), 11C(57.0214), 12C(57.0214), 13C(57.0214), 18C(57.0214), 20M(15.9949), 6C(57.0214)		
sp|P00488|F13A_HUMAN	P00488	F13A_HUMAN	F13A1	732	false	false	Homo sapiens	Coagulation factor XIII A chain	1:Experimental evidence at protein level	15.98	1.0000	0.9987	0.00000000000000	9	9	9	9	9	9	     0	     0	     0			
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	false	false	Homo sapiens	Prothrombin	1:Experimental evidence at protein level	41.96	1.0000	0.9990	0.00000000000000	21	21	21	27	27	27	     0	     0	     0	10C(57.0214), 10M(15.9949), 11C(57.0214), 11M(15.9949), 15C(57.0214), 19C(57.0214), 4C(57.0214), 5C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|P00736|C1R_HUMAN	P00736	C1R_HUMAN	C1R	705	false	false	Homo sapiens	Complement C1r subcomponent	1:Experimental evidence at protein level	31.77	1.0000	0.9984	0.00000000000000	16	14	16	17	15	17	     0	     0	     0	10C(57.0214), 2C(57.0214), 9C(57.0214)		
sp|P00738|HPT_HUMAN	P00738	HPT_HUMAN	HP	406	false	false	Homo sapiens	Haptoglobin	1:Experimental evidence at protein level	45.07	1.0000	0.9990	0.00000000000000	22	10	22	32	17	32	     0	     0	     0	12C(57.0214), 15C(57.0214), 18M(15.9949), 2C(57.0214), 5C(57.0214)		
sp|P00739|HPTR_HUMAN	P00739	HPTR_HUMAN	HPR	348	false	false	Homo sapiens	Haptoglobin-related protein	1:Experimental evidence at protein level	37.64	1.0000	0.9989	0.00000000000000	15	3	3	20	5	5	     0	     0	     0	15C(57.0214)		
sp|P00747|PLMN_HUMAN	P00747	PLMN_HUMAN	PLG	810	false	false	Homo sapiens	Plasminogen	1:Experimental evidence at protein level	31.11	1.0000	0.9990	0.00000000000000	22	19	22	26	23	26	     0	     0	     0	10C(57.0214), 16C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|P00748|FA12_HUMAN	P00748	FA12_HUMAN	F12	615	false	false	Homo sapiens	Coagulation factor XII	1:Experimental evidence at protein level	18.21	1.0000	0.9990	0.00000000000000	8	8	8	9	9	9	     0	     0	     0	10C(57.0214), 3C(57.0214), 8C(57.0214), 9C(57.0214)		
