Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	true	Sus scrofa	Trypsin	1:Experimental evidence at protein level	25.11	1.0000	0.9990	0.00000000000000	4	4	4	7	7	7	     0	     0	     0	17M(15.9949)		
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	false	false	Homo sapiens	Immunoglobulin heavy variable 5-51	1:Experimental evidence at protein level	37.61	1.0000	0.9989	0.00000000000000	3	2	3	4	2	4	     0	     0	     0			
sp|A0A0C4DH72|KV106_HUMAN	A0A0C4DH72	KV106_HUMAN	IGKV1-6	117	false	false	Homo sapiens	Immunoglobulin kappa variable 1-6	1:Experimental evidence at protein level	23.93	1.0000	0.9986	0.00000000000000	3	0	3	4	0	4	     0	     0	     0			
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	false	false	Homo sapiens	Apolipoprotein L1	1:Experimental evidence at protein level	31.66	1.0000	0.9989	0.00000000000000	13	13	13	14	14	14	     0	     0	     0			
sp|O43866|CD5L_HUMAN	O43866	CD5L_HUMAN	CD5L	347	false	false	Homo sapiens	CD5 antigen-like	1:Experimental evidence at protein level	25.94	1.0000	0.9916	0.00000000000000	7	7	7	7	7	7	     0	     0	     0	10C(57.0214), 1C(57.0214), 4C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|O75882|ATRN_HUMAN	O75882	ATRN_HUMAN	ATRN	1429	false	false	Homo sapiens	Attractin	1:Experimental evidence at protein level	3.92	1.0000	0.9979	0.00000000000000	5	5	5	5	5	5	     0	     0	     0			
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	false	false	Homo sapiens	Apolipoprotein M	1:Experimental evidence at protein level	40.96	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	     0	     0	     0	5C(57.0214)		
sp|P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	false	false	Homo sapiens	Ceruloplasmin	1:Experimental evidence at protein level	55.77	1.0000	0.9990	0.00000000000000	47	47	47	72	72	72	     0	     0	     0	10C(57.0214), 10M(15.9949), 11C(57.0214), 13C(57.0214), 18C(57.0214), 1M(15.9949), 20M(15.9949), 26C(57.0214), 3C(57.0214), 6C(57.0214)		
sp|P00488|F13A_HUMAN	P00488	F13A_HUMAN	F13A1	732	false	false	Homo sapiens	Coagulation factor XIII A chain	1:Experimental evidence at protein level	19.40	1.0000	0.9968	0.00000000000000	11	11	11	11	11	11	     0	     0	     0			
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	false	false	Homo sapiens	Prothrombin	1:Experimental evidence at protein level	36.17	1.0000	0.9990	0.00000000000000	19	19	19	23	23	23	     0	     0	     0	10C(57.0214), 11C(57.0214), 15C(57.0214), 19C(57.0214), 5C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|P00736|C1R_HUMAN	P00736	C1R_HUMAN	C1R	705	false	false	Homo sapiens	Complement C1r subcomponent	1:Experimental evidence at protein level	30.50	1.0000	0.9985	0.00000000000000	17	15	17	19	16	19	     0	     0	     0	10C(57.0214), 2C(57.0214), 9C(57.0214)		
sp|P00738|HPT_HUMAN	P00738	HPT_HUMAN	HP	406	false	false	Homo sapiens	Haptoglobin	1:Experimental evidence at protein level	44.83	1.0000	0.9990	0.00000000000000	21	10	21	36	20	36	     0	     0	     0	12C(57.0214), 15C(57.0214), 18M(15.9949), 2C(57.0214), 2M(15.9949), 3M(15.9949), 5C(57.0214)		
sp|P00739|HPTR_HUMAN	P00739	HPTR_HUMAN	HPR	348	false	false	Homo sapiens	Haptoglobin-related protein	1:Experimental evidence at protein level	37.36	1.0000	0.9990	0.00000000000000	14	3	3	21	5	5	     0	     0	     0	15C(57.0214)		
