Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	true	Sus scrofa	Trypsin	1:Experimental evidence at protein level	25.11	1.0000	0.9990	0.00000000000000	4	4	4	6	6	6	     0	     0	     0			
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	false	false	Homo sapiens	Probable non-functional immunoglobulin kappa variable 2D-24	1:Experimental evidence at protein level	32.50	1.0000	0.9983	0.00000000000000	2	0	2	2	0	2	     0	     0	     0			sp|A0A0C4DH68|KV224_HUMAN
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	false	false	Homo sapiens	Immunoglobulin heavy variable 5-51	1:Experimental evidence at protein level	47.01	1.0000	0.9989	0.00000000000000	4	2	4	5	2	5	     0	     0	     0	9C(57.0214)		
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	false	false	Homo sapiens	Immunoglobulin lambda-like polypeptide 5	1:Experimental evidence at protein level	44.39	1.0000	0.9988	0.00000000000000	7	1	3	10	1	3	     0	     0	     0			
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	false	false	Homo sapiens	Apolipoprotein L1	1:Experimental evidence at protein level	36.18	1.0000	0.9989	0.00000000000000	12	12	12	12	12	12	     0	     0	     0			
sp|O75882|ATRN_HUMAN	O75882	ATRN_HUMAN	ATRN	1429	false	false	Homo sapiens	Attractin	1:Experimental evidence at protein level	5.60	1.0000	0.9939	0.00000000000000	8	8	8	8	8	8	     0	     0	     0			
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	false	false	Homo sapiens	Apolipoprotein M	1:Experimental evidence at protein level	36.17	1.0000	0.9990	0.00000000000000	4	4	4	5	5	5	     0	     0	     0			
sp|P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	false	false	Homo sapiens	Ceruloplasmin	1:Experimental evidence at protein level	55.40	1.0000	0.9990	0.00000000000000	49	49	49	76	76	76	     0	     0	     0	10C(57.0214), 10M(15.9949), 11C(57.0214), 12C(57.0214), 13C(57.0214), 18C(57.0214), 1M(15.9949), 3C(57.0214), 6C(57.0214)		
sp|P00488|F13A_HUMAN	P00488	F13A_HUMAN	F13A1	732	false	false	Homo sapiens	Coagulation factor XIII A chain	1:Experimental evidence at protein level	14.48	1.0000	0.9989	0.00000000000000	9	9	9	9	9	9	     0	     0	     0			
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	false	false	Homo sapiens	Prothrombin	1:Experimental evidence at protein level	39.23	1.0000	0.9990	0.00000000000000	19	19	19	23	23	23	     0	     0	     0	10C(57.0214), 11C(57.0214), 15C(57.0214), 19C(57.0214), 4C(57.0214), 5C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|P00736|C1R_HUMAN	P00736	C1R_HUMAN	C1R	705	false	false	Homo sapiens	Complement C1r subcomponent	1:Experimental evidence at protein level	22.70	1.0000	0.9987	0.00000000000000	12	10	12	12	10	12	     0	     0	     0	10C(57.0214), 2C(57.0214)		
sp|P00738|HPT_HUMAN	P00738	HPT_HUMAN	HP	406	false	false	Homo sapiens	Haptoglobin	1:Experimental evidence at protein level	48.03	1.0000	0.9990	0.00000000000000	23	10	23	39	21	39	     0	     0	     0	12C(57.0214), 15C(57.0214), 18M(15.9949), 2C(57.0214), 3M(15.9949), 4C(57.0214), 5C(57.0214), 8C(57.0214)		
sp|P00739|HPTR_HUMAN	P00739	HPTR_HUMAN	HPR	348	false	false	Homo sapiens	Haptoglobin-related protein	1:Experimental evidence at protein level	45.98	1.0000	0.9990	0.00000000000000	18	5	5	25	7	7	     0	     0	     0	15C(57.0214)		
sp|P00747|PLMN_HUMAN	P00747	PLMN_HUMAN	PLG	810	false	false	Homo sapiens	Plasminogen	1:Experimental evidence at protein level	34.44	1.0000	0.9990	0.00000000000000	22	20	22	25	23	25	     0	     0	     0	10C(57.0214), 16C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|P00748|FA12_HUMAN	P00748	FA12_HUMAN	F12	615	false	false	Homo sapiens	Coagulation factor XII	1:Experimental evidence at protein level	10.89	1.0000	0.9989	0.00000000000000	5	5	5	6	6	6	     0	     0	     0	10C(57.0214)		
sp|P00751|CFAB_HUMAN	P00751	CFAB_HUMAN	CFB	764	false	false	Homo sapiens	Complement factor B	1:Experimental evidence at protein level	48.69	1.0000	0.9990	0.00000000000000	35	35	35	44	44	44	     0	     0	     0	12C(57.0214), 15C(57.0214), 1C(57.0214), 4C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|P00915|CAH1_HUMAN	P00915	CAH1_HUMAN	CA1	261	false	false	Homo sapiens	Carbonic anhydrase 1	1:Experimental evidence at protein level	24.52	1.0000	0.9944	0.00000000000000	4	4	4	4	4	4	     0	     0	     0			
sp|P01008|ANT3_HUMAN	P01008	ANT3_HUMAN	SERPINC1	464	false	false	Homo sapiens	Antithrombin-III	1:Experimental evidence at protein level	56.90	1.0000	0.9990	0.00000000000000	23	23	23	36	36	36	     0	     0	     0	19M(15.9949), 6C(57.0214), 6M(15.9949), 8C(57.0214)		
sp|P01009|A1AT_HUMAN	P01009	A1AT_HUMAN	SERPINA1	418	false	false	Homo sapiens	Alpha-1-antitrypsin	1:Experimental evidence at protein level	62.92	1.0000	0.9990	0.00000000000000	30	30	30	56	56	56	     0	     0	     0	10C(57.0214), 15M(15.9949), 16M(15.9949), 3M(15.9949), 8M(15.9949), 9C(57.0214), 9M(15.9949)		
