Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	true	Sus scrofa	Trypsin	1:Experimental evidence at protein level	25.11	1.0000	0.9990	0.00000000000000	4	4	4	6	6	6	     0	     0	     0			
sp|A0A0C4DH72|KV106_HUMAN	A0A0C4DH72	KV106_HUMAN	IGKV1-6	117	false	false	Homo sapiens	Immunoglobulin kappa variable 1-6	1:Experimental evidence at protein level	23.93	1.0000	0.9988	0.00000000000000	3	0	3	5	0	5	     0	     0	     0			
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	false	false	Homo sapiens	Immunoglobulin lambda-like polypeptide 5	1:Experimental evidence at protein level	44.39	1.0000	0.9990	0.00000000000000	7	1	6	10	1	8	     0	     0	     0	4C(57.0214), 5C(57.0214), 7C(57.0214)		
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	false	false	Homo sapiens	Apolipoprotein L1	1:Experimental evidence at protein level	38.44	1.0000	0.9990	0.00000000000000	14	14	14	16	16	16	     0	     0	     0			
sp|O43866|CD5L_HUMAN	O43866	CD5L_HUMAN	CD5L	347	false	false	Homo sapiens	CD5 antigen-like	1:Experimental evidence at protein level	24.21	1.0000	0.9959	0.00000000000000	6	6	6	6	6	6	     0	     0	     0	10C(57.0214), 1C(57.0214), 4C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|O75882|ATRN_HUMAN	O75882	ATRN_HUMAN	ATRN	1429	false	false	Homo sapiens	Attractin	1:Experimental evidence at protein level	5.11	1.0000	0.9916	0.00000000000000	7	7	7	7	7	7	     0	     0	     0			
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	false	false	Homo sapiens	Apolipoprotein M	1:Experimental evidence at protein level	39.89	1.0000	0.9989	0.00000000000000	5	5	5	6	6	6	     0	     0	     0	4C(57.0214)		
sp|P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	false	false	Homo sapiens	Ceruloplasmin	1:Experimental evidence at protein level	53.90	1.0000	0.9990	0.00000000000000	47	47	47	67	67	67	     0	     0	     0	10C(57.0214), 10M(15.9949), 11C(57.0214), 12C(57.0214), 13C(57.0214), 3C(57.0214), 6C(57.0214)		
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	false	false	Homo sapiens	Prothrombin	1:Experimental evidence at protein level	38.91	1.0000	0.9990	0.00000000000000	20	20	20	26	26	26	     0	     0	     0	10C(57.0214), 11M(15.9949), 15C(57.0214), 17M(15.9949), 19C(57.0214), 4C(57.0214), 5C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|P00736|C1R_HUMAN	P00736	C1R_HUMAN	C1R	705	false	false	Homo sapiens	Complement C1r subcomponent	1:Experimental evidence at protein level	29.36	1.0000	0.9989	0.00000000000000	15	13	15	16	13	16	     0	     0	     0	10C(57.0214), 14C(57.0214), 2C(57.0214)		
