Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	true	Sus scrofa	Trypsin	1:Experimental evidence at protein level	25.11	1.0000	0.9990	0.00000000000000	4	4	4	7	7	7	     0	     0	     0	17M(15.9949)		
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	false	false	Homo sapiens	Immunoglobulin lambda variable 3-10	1:Experimental evidence at protein level	27.83	1.0000	0.9961	0.00000000000000	3	1	3	4	2	4	     0	     0	     0	3C(57.0214)		
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	false	false	Homo sapiens	Immunoglobulin kappa variable 1-27	1:Experimental evidence at protein level	13.68	1.0000	0.9988	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	false	false	Homo sapiens	Immunoglobulin heavy variable 3-15	1:Experimental evidence at protein level	35.29	1.0000	0.9978	0.00000000000000	5	3	5	5	3	5	     0	     0	     0			
sp|A0A0C4DH33|HV124_HUMAN	A0A0C4DH33	HV124_HUMAN	IGHV1-24	117	false	false	Homo sapiens	Immunoglobulin heavy variable 1-24	1:Experimental evidence at protein level	47.01	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	     0	     0	     0			
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	false	false	Homo sapiens	Immunoglobulin lambda-like polypeptide 5	1:Experimental evidence at protein level	46.73	1.0000	0.9989	0.00000000000000	8	1	3	11	1	3	     0	     0	     0			
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	false	false	Homo sapiens	Apolipoprotein L1	1:Experimental evidence at protein level	18.84	1.0000	0.9915	0.00000000000000	9	9	9	9	9	9	     0	     0	     0			
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	false	false	Homo sapiens	Apolipoprotein M	1:Experimental evidence at protein level	36.17	1.0000	0.9989	0.00000000000000	4	4	4	4	4	4	     0	     0	     0			
sp|P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	false	false	Homo sapiens	Ceruloplasmin	1:Experimental evidence at protein level	46.01	1.0000	0.9990	0.00000000000000	44	44	44	68	68	68	     0	     0	     0	10M(15.9949), 11C(57.0214), 13C(57.0214), 18C(57.0214), 1M(15.9949), 3C(57.0214), 6C(57.0214)		
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	false	false	Homo sapiens	Prothrombin	1:Experimental evidence at protein level	28.94	1.0000	0.9989	0.00000000000000	18	18	18	23	23	23	     0	     0	     0	10C(57.0214), 19C(57.0214), 4C(57.0214), 5C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|P00736|C1R_HUMAN	P00736	C1R_HUMAN	C1R	705	false	false	Homo sapiens	Complement C1r subcomponent	1:Experimental evidence at protein level	25.11	1.0000	0.9989	0.00000000000000	14	12	14	14	12	14	     0	     0	     0	10C(57.0214), 12C(57.0214), 2C(57.0214), 9C(57.0214)		
sp|P00738|HPT_HUMAN	P00738	HPT_HUMAN	HP	406	false	false	Homo sapiens	Haptoglobin	1:Experimental evidence at protein level	43.35	1.0000	0.9990	0.00000000000000	22	10	22	34	18	34	     0	     0	     0	12C(57.0214), 15C(57.0214), 18M(15.9949), 2C(57.0214), 2M(15.9949), 3M(15.9949), 5C(57.0214)		
sp|P00739|HPTR_HUMAN	P00739	HPTR_HUMAN	HPR	348	false	false	Homo sapiens	Haptoglobin-related protein	1:Experimental evidence at protein level	39.66	1.0000	0.9990	0.00000000000000	16	4	4	22	6	6	     0	     0	     0	15C(57.0214)		
sp|P00747|PLMN_HUMAN	P00747	PLMN_HUMAN	PLG	810	false	false	Homo sapiens	Plasminogen	1:Experimental evidence at protein level	22.72	1.0000	0.9990	0.00000000000000	16	15	16	18	17	18	     0	     0	     0	10C(57.0214), 15C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|P00748|FA12_HUMAN	P00748	FA12_HUMAN	F12	615	false	false	Homo sapiens	Coagulation factor XII	1:Experimental evidence at protein level	4.23	1.0000	0.9989	0.00000000000000	2	2	2	3	3	3	     0	     0	     0			
sp|P00751|CFAB_HUMAN	P00751	CFAB_HUMAN	CFB	764	false	false	Homo sapiens	Complement factor B	1:Experimental evidence at protein level	39.66	1.0000	0.9990	0.00000000000000	31	31	31	39	39	39	     0	     0	     0	12C(57.0214), 16C(57.0214), 1C(57.0214), 3C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|P01008|ANT3_HUMAN	P01008	ANT3_HUMAN	SERPINC1	464	false	false	Homo sapiens	Antithrombin-III	1:Experimental evidence at protein level	54.53	1.0000	0.9990	0.00000000000000	22	22	22	29	29	29	     0	     0	     0	19M(15.9949), 6M(15.9949), 8C(57.0214)		
